Name,Survived,Class,Sex,Age,Family_Members_Aboard,Fare
Mr. William James Elsbury,No,3,male,47,0,7.25
Miss. Mary Bourke,No,3,female,40,2,7.75
Mr. John Henry Chapman,No,2,male,37,1,26
Mr. Jean Baptiste Van Impe,No,3,male,36,2,24.15
Miss. Jessie Wills Leitch,Yes,2,female,31,0,33
Mr. Alfred Johnson,No,3,male,49,0,0
Mr. Hanna Boulos,No,3,male,18,0,7.225
Sir. Cosmo Edmund Duff Gordon,Yes,1,male,49,1,56.9292
Mrs. Sidney Samuel (Amy Frances Christy) Jacobsohn,Yes,2,female,24,3,27
Mr. Petco Slabenoff,No,3,male,42,0,7.8958
Mr. Charles H Harrington,No,1,male,37,0,42.4
Mr. Ernst William Torber,No,3,male,44,0,8.05
Mr. Harry Homer,Yes,1,male,35,0,26.55
Mr. Edvard Bengtsson Lindell,No,3,male,36,1,15.55
Mr. Milan Karaic,No,3,male,30,0,7.8958
Mr. Robert Williams Daniel,Yes,1,male,27,0,30.5
Mrs. Joseph (Juliette Marie Louise Lafargue) Laroche,Yes,2,female,22,3,41.5792
Miss. Elizabeth W Shutes,Yes,1,female,40,0,153.4625
Mrs. Anders Johan (Alfrida Konstantia Brogren) Andersson,No,3,female,39,6,31.275
Mr. Jose Neto Jardin,No,3,male,21,0,7.05
Miss. Margaret Jane Murphy,Yes,3,female,18,1,15.5
Mr. John Horgan,No,3,male,22,0,7.75
Mr. William Alfred Brocklebank,No,3,male,35,0,8.05
Miss. Alice Herman,Yes,2,female,24,3,65
Mr. Ernst Gilbert Danbom,No,3,male,34,2,14.4
Mrs. William Arthur (Cordelia K Stanlick) Lobb,No,3,female,26,1,16.1
Miss. Marion Louise Becker,Yes,2,female,4,3,39
Mr. Lawrence Gavey,No,2,male,26,0,10.5
Mr. Antoni Yasbeck,No,3,male,27,1,14.4542
Mr. Edwin Nelson Jr Kimball,Yes,1,male,42,1,52.5542
Mr. Sahid Nakid,Yes,3,male,20,2,15.7417
Mr. Henry Damsgaard Hansen,No,3,male,21,0,7.8542
Mr. David John Bowen,No,3,male,21,0,16.1
Mr. Frederick Sutton,No,1,male,61,0,32.3208
Rev. Charles Leonard Kirkland,No,2,male,57,0,12.35
Miss. Gretchen Fiske Longley,Yes,1,female,21,0,77.9583
Mr. Guentcho Bostandyeff,No,3,male,26,0,7.8958
Mr. Patrick D O'Connell,No,3,male,18,0,7.7333
Mr. Algernon Henry Wilson Barkworth,Yes,1,male,80,0,30
Mr. Johan Svensson Lundahl,No,3,male,51,0,7.0542
Dr. Max Stahelin-Maeglin,Yes,1,male,32,0,30.5
Mr. William Henry Marsh Parr,No,1,male,30,0,0
Miss. Mabel Skoog,No,3,female,9,5,27.9
Miss. Mary Davis,Yes,2,female,28,0,13
Mr. Antti Gustaf Leinonen,No,3,male,32,0,7.925
Mr. Harvey Collyer,No,2,male,31,2,26.25
Mrs. Juha (Maria Emilia Ojala) Panula,No,3,female,41,5,39.6875
Mr. Percival Thorneycroft,No,3,male,37,1,16.1
Mr. Hans Peder Jensen,No,3,male,20,0,7.8542
Mlle. Emma Sagesser,Yes,1,female,24,0,69.3
Miss. Margit Elizabeth Skoog,No,3,female,2,5,27.9
Mr. Choong Foo,Yes,3,male,32,0,56.4958
Miss. Eugenie Baclini,Yes,3,female,0.75,3,19.2583
Mr. Henry Sleeper Harper,Yes,1,male,48,1,76.7292
Mr. Liudevit Cor,No,3,male,19,0,7.8958
Col. Oberst Alfons Simonius-Blumer,Yes,1,male,56,0,35.5
Mr. Edward Willey,No,3,male,21,0,7.55
Miss. Amy Zillah Elsie Stanley,Yes,3,female,23,0,7.55
Mr. Mito Mitkoff,No,3,male,23,0,7.8958
Miss. Elsie Doling,Yes,2,female,18,1,23
Mr. Johannes Halvorsen Kalvik,No,3,male,21,0,8.4333
Miss. Hanora O'Leary,Yes,3,female,16,0,7.8292
Miss. Hanora Hegarty,No,3,female,18,0,6.75
Mr. Leonard Mark Hickman,No,2,male,24,2,73.5
Mr. Alexander Radeff,No,3,male,27,0,7.8958
Mrs. John (Catherine) Bourke,No,3,female,32,2,15.5
Mr. George Floyd Eitemiller,No,2,male,23,0,13
Mr. Arthur Webster Newell,No,1,male,58,2,113.275
Dr. Henry William Frauenthal,Yes,1,male,50,2,133.65
Mr. Mohamed Badt,No,3,male,40,0,7.225
Mr. Edward Pomeroy Colley,No,1,male,47,0,25.5875
Mr. Peju Coleff,No,3,male,36,0,7.4958
Mr. Eino William Lindqvist,Yes,3,male,20,1,7.925
Mr. Lewis Hickman,No,2,male,32,2,73.5
Mr. Reginald Fenton Butler,No,2,male,25,0,13
Mr. Knud Paust Rommetvedt,No,3,male,49,0,7.775
Mr. Jacob Cook,No,3,male,43,0,8.05
Mrs. Elmer Zebley (Juliet Cummins Wright) Taylor,Yes,1,female,48,1,52
Mrs. Thomas William Solomon (Elizabeth Catherine Ford) Brown,Yes,2,female,40,2,39
Mr. Thornton Davidson,No,1,male,31,1,52
Mr. Henry Michael Mitchell,No,2,male,70,0,10.5
Mr. Charles Wilhelms,Yes,2,male,31,0,13
Mr. Ennis Hastings Watson,No,2,male,19,0,0
Mr. Gustaf Hjalmar Edvardsson,No,3,male,18,0,7.775
Mr. Frederick Charles Sawyer,No,3,male,24.5,0,8.05
Miss. Anna Sofia Turja,Yes,3,female,18,0,9.8417
Mrs. Frederick (Augusta Tyler) Goodwin,No,3,female,43,7,46.9
Mr. Thomas Drake Martinez Cardeza,Yes,1,male,36,1,512.3292
Miss. Katie Peters,No,3,female,28,0,8.1375
Mr. Hammad Hassab,Yes,1,male,27,0,76.7292
Mr. Thor Anderson Olsvigen,No,3,male,20,0,9.225
Mr. Charles Edward Goodwin,No,3,male,14,7,46.9
Mr. Thomas William Solomon Brown,No,2,male,60,2,39
Mr. Joseph Philippe Lemercier Laroche,No,2,male,25,3,41.5792
Mr. Jaako Arnold Panula,No,3,male,14,5,39.6875
Mr. Branko Dakic,No,3,male,19,0,10.1708
Mr. Eberhard Thelander Fischer,No,3,male,18,0,7.7958
Miss. Georgette Alexandra Madill,Yes,1,female,15,1,211.3375
Mr. Albert Adrian Dick,Yes,1,male,31,1,57
Miss. Manca Karun,Yes,3,female,4,1,13.4167
Mr. Ali Lam,Yes,3,male,37,0,56.4958
Mr. Khalil Saad,No,3,male,25,0,7.225
Col. John Weir,No,1,male,60,0,26.55
Mr. Charles Henry Chapman,No,2,male,52,0,13.5
Mr. James Kelly,No,3,male,44,0,8.05
Miss. Katherine Mullens,Yes,3,female,19,0,7.7333
Mr. John Borland Thayer,No,1,male,49,2,110.8833
Mr. Adolf Mathias Nicolai Olsen Humblen,No,3,male,42,0,7.65
Mrs. John Jacob (Madeleine Talmadge Force) Astor,Yes,1,female,18,1,227.525
Mr. Spencer Victor Silverthorne,Yes,1,male,35,0,26.2875
Miss. Saiide Barbara,No,3,female,18,1,14.4542
Mr. Martin Gallagher,No,3,male,25,0,7.7417
Mr. Henrik Juul Hansen,No,3,male,26,1,7.8542
Mr. Henry Samuel Morley,No,2,male,39,0,26
Mrs. Florence Kelly,Yes,2,female,45,0,13.5
Mr. Edward Pennington Calderhead,Yes,1,male,42,0,26.2875
Miss. Alice Cleaver,Yes,1,female,22,0,151.55
Master. Halim Gonios Moubarek,Yes,3,male,4,2,15.2458
Mlle. Berthe Antonine Mayne,Yes,1,female,24,0,49.5042
Mr. Herman Klaber,No,1,male,41,0,26.55
Mr. Elmer Zebley Taylor,Yes,1,male,48,1,52
Mr. August Viktor Larsson,No,3,male,29,0,9.4833
Mr. Samuel Greenberg,No,2,male,52,0,13
Mr. Peter Andreas Lauritz Andersen Soholt,No,3,male,19,0,7.65
Miss. Caroline Louise Endres,Yes,1,female,38,0,227.525
Miss. Edwina Celia Troutt,Yes,2,female,27,0,10.5
Mr. Malkolm Joackim Johnson,No,3,male,33,0,7.775
Miss. Annie Jessie Harper,Yes,2,female,6,1,33
Mr. Svend Lauritz Jensen,No,3,male,17,1,7.0542
Mr. William Henry Gillespie,No,2,male,34,0,13
Mr. Henry Price Hodges,No,2,male,50,0,13
Mr. Norman Campbell Chambers,Yes,1,male,27,1,53.1
Mr. Luka Oreskovic,No,3,male,20,0,8.6625
Mrs. Peter Henry (Lillian Jefferys) Renouf,Yes,2,female,30,3,21
Miss. Margareth Mannion,Yes,3,female,28,0,7.7375
Mr. Kurt Arnold Gottfrid Bryhl,No,2,male,25,1,26
Miss. Pieta Sofia Ilmakangas,No,3,female,25,1,7.925
Miss. Elisabeth Walton Allen,Yes,1,female,29,0,211.3375
Mr. Houssein G N Hassan,No,3,male,11,0,18.7875
Mr. Robert J Knight,No,2,male,41,0,0
Mr. William John Berriman,No,2,male,23,0,13
Mr. Moses Aaron Troupiansky,No,2,male,23,0,13
Mr. Leslie Williams,No,3,male,28.5,0,16.1
Mrs. Edward (Margaret Ann Watson) Ford,No,3,female,48,4,34.375
Mr. Gustave J Lesurer,Yes,1,male,35,0,512.3292
Mr. Kanio Ivanoff,No,3,male,20,0,7.8958
Mr. Minko Nankoff,No,3,male,32,0,7.8958
Mr. Walter James Hawksford,Yes,1,male,45,0,30
Mr. Tyrell William Cavendish,No,1,male,36,1,78.85
Miss. Susan Parker Ryerson,Yes,1,female,21,4,262.375
Mr. Neal McNamee,No,3,male,24,1,16.1
Mr. Juho Stranden,Yes,3,male,31,0,7.925
Capt. Edward Gifford Crosby,No,1,male,70,2,71
Mr. Rossmore Edward Abbott,No,3,male,16,2,20.25
Miss. Anna Sinkkonen,Yes,2,female,30,0,13
Mr. Daniel Warner Marvin,No,1,male,19,1,53.1
Mr. Michael Connaghton,No,3,male,31,0,7.75
Miss. Joan Wells,Yes,2,female,4,2,23
Master. Meier Moor,Yes,3,male,6,1,12.475
Mr. Johannes Joseph Vande Velde,No,3,male,33,0,9.5
Mr. Lalio Jonkoff,No,3,male,23,0,7.8958
Mrs. Samuel (Jane Laver) Herman,Yes,2,female,48,3,65
Master. Viljo Hamalainen,Yes,2,male,0.67,2,14.5
Mr. August Sigfrid Carlsson,No,3,male,28,0,7.7958
Mr. Percy Andrew Bailey,No,2,male,18,0,11.5
Mr. Thomas Leonard Theobald,No,3,male,34,0,8.05
the Countess. of (Lucy Noel Martha Dyer-Edwards) Rothes,Yes,1,female,33,0,86.5
Mr. John Garfirth,No,3,male,23,0,14.5
Mr. Iisakki Antino Aijo Nirva,No,3,male,41,0,7.125
Mr. Hanna Assi Barah,Yes,3,male,20,0,7.2292
Mrs. William Ernest (Lucile Polk) Carter,Yes,1,female,36,3,120
Mr. Hans Linus Eklund,No,3,male,16,0,7.775
Mrs. John C (Anna Andrews) Hogeboom,Yes,1,female,51,1,77.9583
Dr. Arthur Jackson Brewe,No,1,male,46,0,39.6
Miss. Mary Mangan,No,3,female,30.5,0,7.75
Mr. Daniel J Moran,No,3,male,28,1,24.15
Mr. Daniel Danielsen Gronnestad,No,3,male,32,0,8.3625
Mr. Rene Aime Lievens,No,3,male,24,0,9.5
Mr. Niels Peder Jensen,No,3,male,48,0,7.8542
Mrs. (Mary) Mack,No,2,female,57,0,10.5
Mr. Dibo Elias,No,3,male,29,0,7.225
Mrs. Elizabeth (Eliza Needs) Hocking,Yes,2,female,54,4,23
Mr. Pehr Fabian Oliver Malkolm Myhrman,No,3,male,18,0,7.75
Mr. Roger Tobin,No,3,male,20,0,7.75
Miss. Virginia Ethel Emanuel,Yes,3,female,5,0,12.475
Mr. Thomas J Kilgannon,No,3,male,22,0,7.7375
Mrs. Edward Scott (Elisabeth Walton McMillan) Robert,Yes,1,female,43,1,211.3375
Miss. Banoura Ayoub,Yes,3,female,13,0,7.2292
Mrs. Albert Adrian (Vera Gillespie) Dick,Yes,1,female,17,1,57
Mr. Milton Clyde Long,No,1,male,29,0,30
Mr. Andrew G Johnston,No,3,male,35,3,23.45
Mr. William Ali,No,3,male,25,0,7.05
Mr. Abraham (David Lishin) Harmer,No,3,male,25,0,7.25
Miss. Anna Sofia Sjoblom,Yes,3,female,18,0,7.4958
Master. George Hugh Rice,No,3,male,8,5,29.125
Master. Bertram Vere Dean,Yes,3,male,1,3,20.575
Mr. Benjamin Guggenheim,No,1,male,46,0,79.2
Mr. Andrew Keane,No,3,male,20,0,7.75
Mr. Alfred Gaskell,No,2,male,16,0,26
Miss. Stella Anna Sage,No,3,female,21,10,69.55
Mr. William Fisher Hoyt,No,1,male,43,0,30.6958
Mr. Ristiu Dantcheff,No,3,male,25,0,7.8958
Mr. Richard Otter,No,2,male,39,0,13
Dr. Alice (Farnham) Leader,Yes,1,female,49,0,25.9292
Mrs. Mara Osman,Yes,3,female,31,0,8.6833
Mr. Yousseff Ibrahim Shawah,No,3,male,30,0,7.2292
Mrs. Jean Baptiste (Rosalie Paula Govaert) Van Impe,No,3,female,30,2,24.15
Mr. Martin Ponesell,No,2,male,34,0,13
Mrs. Harvey (Charlotte Annie Tate) Collyer,Yes,2,female,31,2,26.25
Master. William Thornton II Carter,Yes,1,male,11,3,120
Master. Assad Alexander Thomas,Yes,3,male,0.42,1,8.5167
Mr. Oskar Arvid Hedman,Yes,3,male,27,0,6.975
Mr. Karl Johan Johansson,No,3,male,31,0,7.775
Mr. Thomas Jr Andrews,No,1,male,39,0,0
Miss. Ellen Natalia Pettersson,No,3,female,18,0,7.775
Mr. August Meyer,No,2,male,39,0,13
Mrs. Norman Campbell (Bertha Griggs) Chambers,Yes,1,female,33,1,53.1
Mr. William Alexander,No,3,male,26,0,7.8875
Mr. James Lester,No,3,male,39,0,24.15
Mr. Richard James Slemen,No,2,male,35,0,10.5
Miss. Ebba Iris Alfrida Andersson,No,3,female,6,6,31.275
Mr. Ernest Portage Tomlin,No,3,male,30.5,0,8.05
Mr. Richard Fry,No,1,male,39,0,0
Miss. Wendla Maria Heininen,No,3,female,23,0,7.925
Mr. Albert Mallet,No,2,male,31,2,37.0042
Mr. John Fredrik Alexander Holm,No,3,male,43,0,6.45
Master. Karl Thorsten Skoog,No,3,male,10,5,27.9
Mrs. Charles Melville (Clara Jennings Gregg) Hays,Yes,1,female,52,2,93.5
Mr. Nikola Lulic,Yes,3,male,27,0,8.6625
Jonkheer. John George Reuchlin,No,1,male,38,0,0
Mrs. (Beila) Moor,Yes,3,female,27,1,12.475
Master. Urho Abraham Panula,No,3,male,2,5,39.6875
Mr. John Flynn,No,3,male,36,0,6.95
Mr. Len Lam,No,3,male,23,0,56.4958
Master. Andre Mallet,Yes,2,male,1,2,37.0042
Mr. Thomas Joseph McCormack,Yes,3,male,19,0,7.75
Mrs. George Nelson (Martha Evelyn) Stone,Yes,1,female,62,0,80
Mrs. Antoni (Selini Alexander) Yasbeck,Yes,3,female,15,1,14.4542
Master. George Sibley Richards,Yes,2,male,0.83,2,18.75
Mr. Amin Saad,No,3,male,30,0,7.2292
Mr. Albert Augustsson,No,3,male,23,0,7.8542
Mr. Owen George Allum,No,3,male,18,0,8.3
Miss. Sara Rebecca Compton,Yes,1,female,39,2,83.1583
Mr. Jakob Pasic,No,3,male,21,0,8.6625
Mr. Maurice Sirota,No,3,male,20,0,8.05
Mr. Chang Chip,Yes,3,male,32,0,56.4958
Mr. Pierre Marechal,Yes,1,male,29,0,29.7
Mr. Ilmari Rudolf Alhomaki,No,3,male,20,0,7.925
Mr. Thomas Charles Mudd,No,2,male,16,0,10.5
Miss. Augusta Serepeca,Yes,1,female,30,0,31
Mr. Peter L Lemberopolous,No,3,male,34.5,0,6.4375
Mr. Jeso Culumovic,No,3,male,17,0,8.6625
Mr. Anthony Abbing,No,3,male,42,0,7.55
Mr. Douglas Bullen Sage,No,3,male,18,10,69.55
Mr. Marin Markoff,No,3,male,35,0,7.8958
Rev. John Harper,No,2,male,28,1,33
Mrs. Samuel L (Edwiga Grabowska) Goldenberg,Yes,1,female,40,1,89.1042
Master. Sigvard Harald Elias Andersson,No,3,male,4,6,31.275
Mr. Johan Svensson,No,3,male,74,0,7.775
Miss. Nourelain Boulos,No,3,female,9,2,15.2458
Miss. Mary Conover Lines,Yes,1,female,16,1,39.4
Mrs. Ernest Courtenay (Lilian Hughes) Carter,No,2,female,44,1,26
Mrs. Sam (Leah Rosen) Aks,Yes,3,female,18,1,9.35
Mrs. George Dennick (Mary Hitchcock) Wick,Yes,1,female,45,2,164.8667
Mr. Peter Denis Daly,Yes,1,male,51,0,26.55
Mrs. Solomon (Latifa Qurban) Baclini,Yes,3,female,24,3,19.2583
Mr. Raihed Razi,No,3,male,30,0,7.2292
Mr. Claus Peter Hansen,No,3,male,41,2,14.1083
Mr. Frederick Edward Giles,No,2,male,21,1,11.5
Mrs. Frederick Joel (Margaret Welles Barron) Swift,Yes,1,female,48,0,25.9292
Miss. Dorothy Edith Sage,No,3,female,14,10,69.55
Mr. John William Gill,No,2,male,24,0,13
Mrs. (Karolina) Bystrom,Yes,2,female,42,0,13
Miss. Asuncion Duran y More,Yes,2,female,27,1,13.8583
Mr. Washington Augustus II Roebling,No,1,male,31,0,50.4958
Mr. Philemon van Melkebeke,No,3,male,23,0,9.5
Master. Harold Theodor Johnson,Yes,3,male,4,2,11.1333
Mr. Cerin Balkic,No,3,male,26,0,7.8958
Mrs. Richard Leonard (Sallie Monypeny) Beckwith,Yes,1,female,47,2,52.5542
Mr. Frans Olof Carlsson,No,1,male,33,0,5
Mr. Victor Vander Cruyssen,No,3,male,47,0,9
Mrs. Samuel (Hannah Wizosky) Abelson,Yes,2,female,28,1,24
Miss. Adele Kiamie Najib,Yes,3,female,15,0,7.225
Mr. Alfred Ossian Gustafsson,No,3,male,20,0,9.8458
Mr. Nedelio Petroff,No,3,male,19,0,7.8958
Mr. Kristo Laleff,No,3,male,23,0,7.8958
Mrs. Thomas Jr (Lily Alexenia Wilson) Potter,Yes,1,female,56,1,83.1583
Mrs. William (Imanita Parrish Hall) Shelley,Yes,2,female,25,1,26
Mr. Johann Markun,No,3,male,33,0,7.8958
Miss. Gerda Ulrika Dahlberg,No,3,female,22,0,10.5167
Mr. Frederick James Banfield,No,2,male,28,0,10.5
Mr. Henry Jr Sutehall,No,3,male,25,0,7.05
Mrs. William (Margaret Norton) Rice,No,3,female,39,5,29.125
Rev. Juozas Montvila,No,2,male,27,0,13
Miss. Margaret Edith Graham,Yes,1,female,19,0,30
Miss. Catherine Helen Johnston,No,3,female,7,3,23.45
Mr. Karl Howell Behr,Yes,1,male,26,0,30
Mr. Patrick Dooley,No,3,male,32,0,7.75
